name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.9898248935163274,0.99029,0.98722
hongyuanchen,458,3,0.9951194679002645,0.93237,0.96427
jietang,1198,43,0.8691649886241795,0.89788,0.85370
minhu,526,23,0.818248099156338,0.92128,0.79760
feichen,1412,79,0.6144119885266054,0.86873,0.59763
hongjunsong,268,4,0.9729874776386405,0.85590,0.92798
binzhou,1529,95,0.6617304987558152,0.87760,0.63960
xiangzhang,2364,116,0.8341467882705467,0.91635,0.82223
hongfuzhang,274,4,0.9881831610044314,0.97005,0.98036
weiminliu,1434,30,0.9868488908938009,0.95472,0.97665
aiqinwang,346,4,0.9958714139525038,0.98503,0.99214
hermannwagner,408,4,0.9925639957007173,0.96551,0.98351
yaowang,1406,77,0.4669389900148106,0.79895,0.44382
jianpei,577,6,0.9757160192400474,0.93801,0.95874
jihuawang,660,11,0.9931499918266947,0.94138,0.98326
weiren,586,19,0.7043852192609631,0.85373,0.66612
shinjitanaka,386,12,0.9591760426934974,0.92389,0.94910
qunli,742,24,0.5895226216124276,0.82770,0.53522
haijiang,506,28,0.7809281986175766,0.90816,0.76105
barrysmith,253,11,0.5119753900241705,0.67875,0.43397
lingwang,716,21,0.8896083285723354,0.91061,0.87839
xiaohongguan,594,6,0.931588432747004,0.76683,0.83561
jiewu,2588,84,0.5285240871781274,0.78880,0.43684
jijunzhao,105,4,0.9721325902024053,0.93945,0.95949
jianyang,2863,120,0.3927159761071893,0.82415,0.36633
ruiwang,2641,143,0.44991872627640267,0.85034,0.43444
haibohe,384,6,0.9876154836702418,0.89465,0.94193
davidparker,253,6,0.7946882343297449,0.83853,0.71404
fengwang,737,19,0.8333879051960809,0.89164,0.82028
gangli,3228,157,0.4370542651268781,0.82612,0.42221
baohongzhang,271,5,0.9634904644457568,0.91895,0.93982
bingxu,1233,68,0.584983286191823,0.83566,0.56728
biaohuang,776,14,0.7671085548619392,0.86607,0.72930
taoli,2146,138,0.4122578853001338,0.83453,0.40238
lixingao,404,5,0.8774778753545889,0.62398,0.56880
jiegao,1254,102,0.5181208785219904,0.87869,0.50666
jimingchen,366,9,0.8853522732254812,0.89750,0.82678
jianhuayin,446,19,0.7999652340185128,0.87760,0.77384
hidekihayashi,168,12,0.9591950810508665,0.96784,0.95323
hongjiezhang,625,12,0.9832059142102993,0.94250,0.96723
hvogel,111,4,0.9441105769230769,0.91941,0.92317
wengao,33,4,1.0,1.00000,1.00000
rgupta,271,15,0.47876113850679125,0.71837,0.39249
jiegong,405,29,0.8193166885676741,0.93725,0.80872
bingren,351,9,0.9195057165954498,0.89520,0.89793
zhenlei,206,4,0.9627396413110699,0.85415,0.90383
chunchen,828,21,0.9698983731983462,0.93157,0.94851
frankcaruso,293,4,0.6925836322682906,0.50274,0.35514
hainingwang,406,20,0.7341830396171721,0.88086,0.69437
jianlongwang,738,12,0.6980673254061296,0.81169,0.59475
average,,,0.79777,0.87264,0.75636
