name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.5468424705065926,0.83348,0.49046
hongyuanchen,458,3,0.9614671908283255,0.72945,0.77803
jietang,1198,43,0.7209410136654558,0.81333,0.68973
minhu,526,23,0.7268464243845251,0.90743,0.70101
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.5468424705065926,0.83348,0.49046
hongyuanchen,458,3,0.9614671908283255,0.72945,0.77803
jietang,1198,43,0.7209410136654558,0.81333,0.68973
minhu,526,23,0.7268464243845251,0.90743,0.70101
feichen,1412,79,0.6959525026868537,0.87448,0.68164
hongjunsong,268,4,0.5485083161781524,0.56638,0.31540
binzhou,1529,95,0.7372018421470542,0.83203,0.71923
xiangzhang,2364,116,0.7187173343940501,0.83147,0.69659
hongfuzhang,274,4,0.6476825608536179,0.44854,0.24960
weiminliu,1434,30,0.87326651841714,0.83876,0.75484
aiqinwang,346,4,0.9569040362057818,0.93371,0.92126
hermannwagner,408,4,0.3302665032649851,0.44262,0.17716
yaowang,1406,77,0.24824649055578732,0.69404,0.20003
jianpei,577,6,0.9135939931194953,0.83653,0.85080
jihuawang,660,11,0.8805197406522013,0.80713,0.75068
weiren,586,19,0.7155728292553662,0.84464,0.67500
shinjitanaka,386,12,0.9281971596863369,0.90725,0.91180
qunli,742,24,0.4817986224423491,0.77378,0.41593
haijiang,506,28,0.7542069595675016,0.91178,0.72736
barrysmith,253,11,0.515674178521969,0.68960,0.44710
lingwang,716,21,0.635942235692637,0.77646,0.58701
xiaohongguan,594,6,0.8405233660657219,0.63812,0.66101
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.5965935246278964,0.76437,0.52840
hongyuanchen,458,3,0.4953522230932915,0.12977,0.02567
jietang,1198,43,0.39380307907084966,0.69942,0.35263
minhu,526,23,0.43694852014319563,0.69658,0.39601
feichen,1412,79,0.38582138438023145,0.71869,0.36392
hongjunsong,268,4,0.5024491864196836,0.25201,0.06952
binzhou,1529,95,0.37650354971766564,0.70937,0.34415
xiangzhang,2364,116,0.31386063713541223,0.64207,0.27572
hongfuzhang,274,4,0.915353026890979,0.81284,0.85810
weiminliu,1434,30,0.17139190647081565,0.50790,0.09132
aiqinwang,346,4,0.7237097400077611,0.66336,0.56128
hermannwagner,408,4,0.5764230077890953,0.49060,0.34810
yaowang,1406,77,0.24432942832426727,0.65550,0.21740
jianpei,577,6,0.6070923881908108,0.60547,0.44686
jihuawang,660,11,0.2531828358703284,0.37285,0.09218
weiren,586,19,0.6291751085383502,0.69324,0.58761
shinjitanaka,386,12,0.40238876272184365,0.56474,0.29466
qunli,742,24,0.4039712427250941,0.67389,0.34093
haijiang,506,28,0.5207094012342247,0.81105,0.48542
barrysmith,253,11,0.26730790739290905,0.39107,0.15186
lingwang,716,21,0.5599017293703936,0.70270,0.52159
xiaohongguan,594,6,0.43440252068873947,0.47741,0.20659
jiewu,2588,84,0.2825627896080852,0.58539,0.22115
jijunzhao,105,4,0.848428260192966,0.79796,0.78551
jianyang,2863,120,0.22158426577309218,0.62542,0.19247
ruiwang,2641,143,0.17535360305393563,0.61270,0.15007
haibohe,384,6,0.411934704865464,0.27307,0.06980
davidparker,253,6,0.6142578125,0.52204,0.48101
fengwang,737,19,0.7299103413710532,0.84280,0.71079
gangli,3228,157,0.19111090457302654,0.63151,0.16768
baohongzhang,271,5,0.6123714118862585,0.67953,0.46057
bingxu,1233,68,0.32571336966976594,0.68313,0.29689
biaohuang,776,14,0.582142810117582,0.74715,0.52701
taoli,2146,138,0.11890251742137879,0.59130,0.09692
lixingao,404,5,0.42296351654324343,0.32099,0.09134
jiegao,1254,102,0.22752240110730676,0.68160,0.20149
jimingchen,366,9,0.6267840874582448,0.73772,0.51448
jianhuayin,446,19,0.46425872752002423,0.69203,0.40523
hidekihayashi,168,12,0.421314191054666,0.64007,0.33564
hongjiezhang,625,12,0.29687705082995725,0.45158,0.14945
hvogel,111,4,0.8259532595325952,0.79489,0.76278
wengao,33,4,0.8059701492537312,0.81438,0.74038
rgupta,271,15,0.45678903140203453,0.67426,0.37140
jiegong,405,29,0.6007825600894355,0.78216,0.57780
bingren,351,9,0.6513864251703855,0.78428,0.58117
zhenlei,206,4,0.5181760874133221,0.42070,0.21381
chunchen,828,21,0.2872658548838544,0.57164,0.17275
frankcaruso,293,4,0.39824002566629235,0.13016,-0.06646
hainingwang,406,20,0.5688362091571826,0.77884,0.51714
jianlongwang,738,12,0.35375592512251947,0.51043,0.22399
average,,,0.46504,0.60825,0.35024
name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.5965935246278964,0.76437,0.52840
hongyuanchen,458,3,0.4953522230932915,0.12977,0.02567
jietang,1198,43,0.39380307907084966,0.69942,0.35263
minhu,526,23,0.43694852014319563,0.69658,0.39601
feichen,1412,79,0.38582138438023145,0.71869,0.36392
hongjunsong,268,4,0.5024491864196836,0.25201,0.06952
binzhou,1529,95,0.37650354971766564,0.70937,0.34415
xiangzhang,2364,116,0.31386063713541223,0.64207,0.27572
hongfuzhang,274,4,0.915353026890979,0.81284,0.85810
weiminliu,1434,30,0.17139190647081565,0.50790,0.09132
aiqinwang,346,4,0.7237097400077611,0.66336,0.56128
