name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.5468424705065926,0.83348,0.49046
hongyuanchen,458,3,0.9903413905928174,0.88931,0.93508
jietang,1198,43,0.8249005356314405,0.84993,0.80563
minhu,526,23,0.9110581617905551,0.94986,0.90199
feichen,1412,79,0.6959525026868537,0.87448,0.68164
hongjunsong,268,4,0.861375986875833,0.72586,0.70206
binzhou,1529,95,0.8444324576493571,0.88526,0.83485
xiangzhang,2364,116,0.7635128806745454,0.83935,0.74538
hongfuzhang,274,4,0.9450535192993839,0.88383,0.90664
weiminliu,1434,30,0.883245394591818,0.84768,0.77711
aiqinwang,346,4,0.9997874450899816,0.99474,0.99960
hermannwagner,408,4,0.6741380312808883,0.58033,0.48094
yaowang,1406,77,0.41543368409888104,0.74965,0.38266
jianpei,577,6,0.9245621468926554,0.85902,0.86881
jihuawang,660,11,0.9880402977160699,0.91835,0.97116
weiren,586,19,0.7188546255506607,0.84735,0.67868
shinjitanaka,386,12,0.9516637980493403,0.93355,0.94051
qunli,742,24,0.4844935522026369,0.77644,0.41881
haijiang,506,28,0.7729883964238159,0.91271,0.74818
barrysmith,253,11,0.5691131149412167,0.73118,0.50236
lingwang,716,21,0.6470960738194318,0.77903,0.60008
xiaohongguan,594,6,0.9068981075449793,0.75779,0.78995
jiewu,2588,84,0.870125580335214,0.86654,0.85199
jijunzhao,105,4,0.878594249201278,0.85098,0.83028
jianyang,2863,120,0.692072078163562,0.82523,0.68084
ruiwang,2641,143,0.48221375083897405,0.78871,0.46747
haibohe,384,6,0.9641527913809989,0.82320,0.84896
davidparker,253,6,0.8100380414774818,0.82057,0.74486
fengwang,737,19,0.8573263828841071,0.92556,0.84590
name,num_nodes,true_clusters,pf1,nmi,ari
gangli,3228,157,0.6262511170688114,0.81673,0.61697
baohongzhang,271,5,0.9501702946838442,0.92167,0.92112
bingxu,1233,68,0.5786883037481476,0.80599,0.55447
biaohuang,776,14,0.8797150542076322,0.89640,0.85350
taoli,2146,138,0.4447866380735548,0.80489,0.43386
lixingao,404,5,0.844994474295949,0.62784,0.56380
jiegao,1254,102,0.5901633030349716,0.85696,0.57786
jimingchen,366,9,0.8900092875149264,0.90400,0.83442
jianhuayin,446,19,0.8834772151355066,0.91056,0.86808
hidekihayashi,168,12,0.9653349001175088,0.96479,0.96055
hongjiezhang,625,12,0.7965602845955007,0.82598,0.66923
hvogel,111,4,0.9814471243042671,0.97090,0.97477
wengao,33,4,0.9711934156378601,0.96768,0.96259
rgupta,271,15,0.6958362738179252,0.75742,0.60505
jiegong,405,29,0.7532605238044746,0.90386,0.73838
bingren,351,9,0.6118376135707159,0.78550,0.55051
zhenlei,206,4,0.9497914661533525,0.87723,0.87784
chunchen,828,21,0.9424470461817823,0.81838,0.89937
frankcaruso,293,4,0.8956671406121381,0.51018,0.53935
hainingwang,406,20,0.8297328027288233,0.85089,0.79534
jianlongwang,738,12,0.9414294104128897,0.87559,0.90854
average,,,0.80962,0.84055,0.74749
