name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.40101107724332763,0.41971,0.16976
hongyuanchen,458,3,0.9606901933952684,0.54092,0.63437
jietang,1198,43,0.39748871492102955,0.51658,0.29259
minhu,526,23,0.3601916188338872,0.49222,0.26404
feichen,1412,79,0.09450779171417713,0.33561,0.02975
hongjunsong,268,4,0.876883969496207,0.52542,0.60334
binzhou,1529,95,0.14865972212649356,0.36068,0.05942
xiangzhang,2364,116,0.15392648241693413,0.37724,0.05620
hongfuzhang,274,4,0.599103848181339,0.23613,0.14047
weiminliu,1434,30,0.7402809181940377,0.46825,0.44634
aiqinwang,346,4,0.8797873585315701,0.67546,0.75979
hermannwagner,408,4,0.7811868148175629,0.31711,0.40384
yaowang,1406,77,0.08784745240276823,0.36930,0.02183
jianpei,577,6,0.6327635677522356,0.37261,0.25733
jihuawang,660,11,0.8290223631938666,0.43165,0.50753
weiren,586,19,0.4506309497454062,0.56415,0.36299
shinjitanaka,386,12,0.33337597543814756,0.21205,0.04948
qunli,742,24,0.5479620784768494,0.45040,0.41042
haijiang,506,28,0.2529012005543589,0.49480,0.13638
barrysmith,253,11,0.2166640974256205,0.23388,0.02179
lingwang,716,21,0.46079694438971164,0.57717,0.38918
xiaohongguan,594,6,0.8528127111799706,0.44129,0.54269
jiewu,2588,84,0.28980306641725573,0.32728,0.10631
jijunzhao,105,4,0.623968947113052,0.43044,0.40729
jianyang,2863,120,0.08293684740507674,0.30386,0.02668
ruiwang,2641,143,0.041863609938578975,0.30457,0.00365
haibohe,384,6,0.9159546546043448,0.40900,0.44754
davidparker,253,6,0.4173382857943793,0.24252,0.09007
fengwang,737,19,0.31042892819067375,0.56674,0.23382
gangli,3228,157,0.048819159560180625,0.32178,0.01175
baohongzhang,271,5,0.749966404171258,0.61963,0.51941
bingxu,1233,68,0.103299984800937,0.39078,0.03397
biaohuang,776,14,0.4565170791985575,0.52704,0.29967
taoli,2146,138,0.030092693139665193,0.28825,0.00326
lixingao,404,5,0.8398881418456595,0.52399,0.58105
jiegao,1254,102,0.06193554853906681,0.36600,0.02131
jimingchen,366,9,0.6967879082671279,0.55141,0.50493
jianhuayin,446,19,0.29401058901389804,0.44300,0.15037
hidekihayashi,168,12,0.24045016773076505,0.29899,0.04767
hongjiezhang,625,12,0.7267914642798667,0.40438,0.39094
hvogel,111,4,0.39779374895537356,0.12463,0.01111
wengao,33,4,0.5440613026819924,0.57484,0.39473
rgupta,271,15,0.34154241016866294,0.21644,0.03241
jiegong,405,29,0.13654798337936355,0.40448,0.04958
bingren,351,9,0.5403099519412495,0.47719,0.36779
zhenlei,206,4,0.8447587245465855,0.42859,0.46725
chunchen,828,21,0.789547828978262,0.53267,0.59344
frankcaruso,293,4,0.7572167912593444,0.11400,0.15892
hainingwang,406,20,0.3551900932038199,0.36761,0.15481
jianlongwang,738,12,0.5716383685878442,0.31350,0.27025
average,,,0.46536,0.40572,0.25879
