name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.8256379100850547,0.89656,0.77268
hongyuanchen,458,3,0.9744247512437811,0.59680,0.81674
jietang,1198,43,0.27843479106727975,0.57907,0.15808
minhu,526,23,0.25359813656981733,0.49388,0.12088
feichen,1412,79,0.3587091782455914,0.77784,0.32129
hongjunsong,268,4,0.8668358160091667,0.57601,0.58732
binzhou,1529,95,0.42068813084800716,0.80435,0.37240
xiangzhang,2364,116,0.5088094944341189,0.82707,0.46657
hongfuzhang,274,4,0.677006242357938,0.57056,0.44839
weiminliu,1434,30,0.8152482290845406,0.80159,0.69083
aiqinwang,346,4,0.9797237115562618,0.90425,0.96104
hermannwagner,408,4,0.7642414717574189,0.29411,0.35504
yaowang,1406,77,0.2555080313942909,0.74826,0.21579
jianpei,577,6,0.8542540752458904,0.70583,0.74204
jihuawang,660,11,0.9821631908156422,0.89354,0.95654
weiren,586,19,0.30979910155867607,0.53592,0.17428
shinjitanaka,386,12,0.9303345403807183,0.92018,0.91268
qunli,742,24,0.5020936429387134,0.55114,0.34790
haijiang,506,28,0.6867591559028332,0.88558,0.66219
barrysmith,253,11,0.456844711708525,0.67246,0.35625
lingwang,716,21,0.30522195196108237,0.43921,0.19139
xiaohongguan,594,6,0.7700288567765391,0.16511,0.13995
jiewu,2588,84,0.3102967597627848,0.55880,0.16216
jijunzhao,105,4,0.6558441558441559,0.46111,0.44774
jianyang,2863,120,0.2856310280202952,0.80299,0.25654
ruiwang,2641,143,0.17591923837895682,0.72333,0.14678
haibohe,384,6,0.9374803851935052,0.60808,0.64875
davidparker,253,6,0.4953392803447931,0.47772,0.20386
fengwang,737,19,0.5482179719040572,0.78567,0.50320
gangli,3228,157,0.15131024521814568,0.67717,0.12118
baohongzhang,271,5,0.6966060835883963,0.51712,0.41942
bingxu,1233,68,0.28357271949015506,0.71325,0.24078
biaohuang,776,14,0.4490408133698089,0.59597,0.32043
taoli,2146,138,0.1550206961824379,0.75354,0.13341
lixingao,404,5,0.7627347427742251,0.22530,0.15334
jiegao,1254,102,0.21708401413534978,0.77596,0.18756
jimingchen,366,9,0.6719618478279121,0.60230,0.45052
jianhuayin,446,19,0.31378223679979417,0.55542,0.20014
hidekihayashi,168,12,0.9641657334826428,0.96965,0.95894
hongjiezhang,625,12,0.7064655080951472,0.43418,0.30311
hvogel,111,4,0.6464374016632951,0.68608,0.46445
wengao,33,4,0.8203125,0.82230,0.76285
rgupta,271,15,0.48215024121295663,0.67394,0.35445
jiegong,405,29,0.7024700598802396,0.91946,0.68273
bingren,351,9,0.596594963808747,0.66548,0.43896
zhenlei,206,4,0.9607864877850463,0.85403,0.89106
chunchen,828,21,0.6832760119848694,0.54048,0.36792
frankcaruso,293,4,0.8949822850740392,0.57156,0.55101
hainingwang,406,20,0.5559328659028169,0.72727,0.43927
jianlongwang,738,12,0.5198599541229023,0.27900,0.10781
average,,,0.58839,0.65233,0.43377
