name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.4665506573859242,0.51346,0.29742
hongyuanchen,458,3,0.9541105315370092,0.48985,0.56577
jietang,1198,43,0.41754707482352593,0.49553,0.31913
minhu,526,23,0.6468466499070936,0.64226,0.60836
feichen,1412,79,0.13476034484797597,0.45924,0.07405
hongjunsong,268,4,0.8188729236726793,0.36679,0.43479
binzhou,1529,95,0.172864814278393,0.47461,0.08934
xiangzhang,2364,116,0.17403203793881755,0.40811,0.07867
hongfuzhang,274,4,0.5800674344265884,0.17698,0.09807
weiminliu,1434,30,0.7555423512796665,0.56474,0.47581
aiqinwang,346,4,0.7070339349812885,0.36655,0.25627
hermannwagner,408,4,0.7846755307093753,0.37055,0.42638
yaowang,1406,77,0.09932632388694182,0.42684,0.03621
jianpei,577,6,0.6932241758923311,0.49468,0.41922
jihuawang,660,11,0.8653145362751778,0.50516,0.61410
weiren,586,19,0.5771083059297761,0.62591,0.51510
shinjitanaka,386,12,0.35075661662747937,0.26669,0.06742
qunli,742,24,0.26584572703539155,0.10325,0.04229
haijiang,506,28,0.2845940447567968,0.56069,0.17593
barrysmith,253,11,0.20580693192158162,0.24066,0.01123
lingwang,716,21,0.15798801014135141,0.08634,0.01516
xiaohongguan,594,6,0.620708129513161,0.44202,0.29719
jiewu,2588,84,0.3207152583222553,0.39019,0.14770
jijunzhao,105,4,0.4390557939914163,0.08838,0.07275
jianyang,2863,120,0.09463136180958139,0.37084,0.03956
ruiwang,2641,143,0.05269623498984724,0.33297,0.01495
haibohe,384,6,0.9532802364726167,0.61895,0.73084
davidparker,253,6,0.6251441753171857,0.51516,0.45218
fengwang,737,19,0.1231052847193773,0.08775,0.00859
gangli,3228,157,0.05243281979594833,0.33964,0.01548
baohongzhang,271,5,0.7104330812754481,0.55127,0.43823
bingxu,1233,68,0.10999852515242704,0.41878,0.04157
biaohuang,776,14,0.5114655231009745,0.61604,0.36888
taoli,2146,138,0.039675488547893586,0.34944,0.01331
lixingao,404,5,0.7450264067029344,0.20318,0.33414
jiegao,1254,102,0.07475969066949337,0.48917,0.03641
jimingchen,366,9,0.4007742091574427,0.05925,0.06314
jianhuayin,446,19,0.35598492703775825,0.56955,0.23493
hidekihayashi,168,12,0.2967548676984523,0.35448,0.11420
hongjiezhang,625,12,0.8265808000670057,0.51462,0.62138
hvogel,111,4,0.49899836095428873,0.46523,0.19489
wengao,33,4,0.38926174496644295,0.35638,0.15775
rgupta,271,15,0.41504697941046775,0.38906,0.15370
jiegong,405,29,0.13011319327929674,0.42690,0.04194
bingren,351,9,0.6332672343403709,0.64097,0.50352
zhenlei,206,4,0.887034569805764,0.61273,0.65677
chunchen,828,21,0.4554538979135979,0.08561,0.05849
frankcaruso,293,4,0.6772730327262954,0.06038,-0.06026
hainingwang,406,20,0.47484610007441314,0.55314,0.33115
jianlongwang,738,12,0.714578694208984,0.57312,0.53136
average,,,0.45484,0.40228,0.24471
