name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.4267825861285928,0.40511,0.18743
hongyuanchen,458,3,0.9536812774622228,0.43995,0.57716
jietang,1198,43,0.24583305973832312,0.38946,0.09725
minhu,526,23,0.22389663946652627,0.39508,0.08286
feichen,1412,79,0.09284614015600165,0.36712,0.02699
hongjunsong,268,4,0.8226169019218698,0.35471,0.44023
binzhou,1529,95,0.15423448713014737,0.45627,0.06481
xiangzhang,2364,116,0.14766234764328026,0.33322,0.04421
hongfuzhang,274,4,0.5777924590628096,0.26664,0.13024
weiminliu,1434,30,0.6829785059728167,0.39331,0.27172
aiqinwang,346,4,0.7120922771369643,0.38630,0.26924
hermannwagner,408,4,0.7312493013897686,0.20524,0.27171
yaowang,1406,77,0.08759737503298419,0.31804,0.01969
jianpei,577,6,0.6234803938368739,0.30073,0.17635
jihuawang,660,11,0.7526055196760174,0.23687,0.27447
weiren,586,19,0.21912665481130209,0.27729,0.05278
shinjitanaka,386,12,0.35439038922529065,0.23534,0.06348
qunli,742,24,0.39620960864209237,0.35144,0.18296
haijiang,506,28,0.20206832164316665,0.40966,0.06893
barrysmith,253,11,0.1969996511222235,0.17014,-0.00252
lingwang,716,21,0.2453370226754923,0.39594,0.10807
xiaohongguan,594,6,0.7626052578508183,0.11811,0.15665
jiewu,2588,84,0.26614388420434065,0.29251,0.07325
jijunzhao,105,4,0.5538008001684566,0.30753,0.25723
jianyang,2863,120,0.08532751389504553,0.39224,0.02936
ruiwang,2641,143,0.0489779560864158,0.34019,0.01079
haibohe,384,6,0.9387528669487386,0.48302,0.65962
davidparker,253,6,0.4119974473516273,0.25352,0.06359
fengwang,737,19,0.13583036621971256,0.22886,0.01236
gangli,3228,157,0.054113437754417786,0.38167,0.01713
baohongzhang,271,5,0.561144418973726,0.16145,0.06052
bingxu,1233,68,0.10067683573234243,0.40618,0.02923
biaohuang,776,14,0.3169347281748775,0.27879,0.07378
taoli,2146,138,0.04259051456731732,0.49400,0.01632
lixingao,404,5,0.8010671890039006,0.23328,0.29127
jiegao,1254,102,0.07597521916475616,0.51804,0.03621
jimingchen,366,9,0.5880168829932404,0.43354,0.29612
jianhuayin,446,19,0.22879076817759525,0.28908,0.04913
hidekihayashi,168,12,0.29456816307293504,0.44950,0.12017
hongjiezhang,625,12,0.7434969127383639,0.37489,0.37624
hvogel,111,4,0.41635561588055653,0.25663,0.04511
wengao,33,4,0.5033557046979865,0.55976,0.31509
rgupta,271,15,0.38465872807182305,0.24489,0.12437
jiegong,405,29,0.1094622288177514,0.31050,0.01644
bingren,351,9,0.35782773025661424,0.25171,0.06812
zhenlei,206,4,0.8030510090576831,0.26237,0.28608
chunchen,828,21,0.6734267459482319,0.42734,0.30931
frankcaruso,293,4,0.8455128876389366,0.26929,0.31700
hainingwang,406,20,0.38556485783882266,0.49229,0.20989
jianlongwang,738,12,0.5617617503744573,0.24281,0.14485
average,,,0.41803,0.33684,0.15747
