name,num_nodes,true_clusters,pf1,nmi,ari
jingyin,204,12,0.666554593595024,0.72920,0.54812
hongyuanchen,458,3,0.9495954469196628,0.41993,0.50538
jietang,1198,43,0.6155681245449963,0.59980,0.56405
minhu,526,23,0.6468546637744035,0.64772,0.60810
feichen,1412,79,0.3188900463219486,0.61689,0.28806
hongjunsong,268,4,0.800820604484888,0.33348,0.37474
binzhou,1529,95,0.2646255859826554,0.56808,0.20655
xiangzhang,2364,116,0.2876511798124847,0.52497,0.23443
hongfuzhang,274,4,0.7006944836542262,0.44510,0.44523
weiminliu,1434,30,0.7961540175366502,0.56377,0.60479
aiqinwang,346,4,0.8649710366868633,0.64885,0.72915
hermannwagner,408,4,0.9430904876410823,0.76749,0.87188
yaowang,1406,77,0.23748369904178718,0.54493,0.20926
jianpei,577,6,0.6241809252890643,0.31450,0.16003
jihuawang,660,11,0.869243690224839,0.51201,0.64137
weiren,586,19,0.5856907295971904,0.62347,0.52532
shinjitanaka,386,12,0.5018899057925132,0.52069,0.30743
qunli,742,24,0.6512966226666187,0.61757,0.56628
haijiang,506,28,0.4005659891947517,0.65345,0.32757
barrysmith,253,11,0.22145125249911798,0.26978,0.04850
lingwang,716,21,0.46987355859894275,0.55081,0.40032
xiaohongguan,594,6,0.9653603268945022,0.79365,0.91089
jiewu,2588,84,0.443873579431271,0.54863,0.32589
jijunzhao,105,4,0.7124183006535947,0.58710,0.55322
jianyang,2863,120,0.2244756567780238,0.52605,0.18311
ruiwang,2641,143,0.18872389583006213,0.54719,0.16850
haibohe,384,6,0.9225175715638064,0.47655,0.58981
davidparker,253,6,0.6452753916119253,0.52884,0.49445
fengwang,737,19,0.6083221102493848,0.72132,0.57521
gangli,3228,157,0.12271291224401665,0.49471,0.09320
baohongzhang,271,5,0.7104330812754481,0.55127,0.43823
bingxu,1233,68,0.3188216564157189,0.58302,0.28162
biaohuang,776,14,0.7621173238876641,0.78719,0.70947
taoli,2146,138,0.11102423114716399,0.50980,0.08926
lixingao,404,5,0.7530068048741889,0.21545,0.35071
jiegao,1254,102,0.23953922896275096,0.62133,0.21545
jimingchen,366,9,0.6496268976756155,0.46937,0.41757
jianhuayin,446,19,0.39570578352364955,0.58619,0.28845
hidekihayashi,168,12,0.38904350373516916,0.50342,0.24973
hongjiezhang,625,12,0.8219129872353378,0.51367,0.61888
hvogel,111,4,0.6721763085399449,0.59600,0.53517
wengao,33,4,0.6064139941690961,0.62996,0.43698
rgupta,271,15,0.40919714853336453,0.31264,0.12637
jiegong,405,29,0.502716468590832,0.73658,0.46763
bingren,351,9,0.47353549736356154,0.45360,0.24974
zhenlei,206,4,0.8731452294918122,0.56322,0.66967
chunchen,828,21,0.8229313663621285,0.59586,0.67582
frankcaruso,293,4,0.8375625755221819,0.17181,0.19500
hainingwang,406,20,0.4473049850544788,0.64040,0.37027
jianlongwang,738,12,0.6919744081474318,0.53278,0.53601
average,,,0.57478,0.54540,0.41966
