name,num_nodes,true_clusters,pf1,nmi,ari
weiguozhu,372,12,0.9459103178422715,0.87180,0.91729
weidongtian,368,4,0.9461127922971113,0.78960,0.83571
yingtan,309,11,0.9377044711014177,0.95212,0.92640
lansunchen,426,3,0.983100704332642,0.67785,0.70693
xiaomingxie,421,9,0.9385905799698904,0.86250,0.89870
weiliao,357,11,0.9278698724501134,0.93521,0.91245
makotoinoue,603,18,0.9164070942724557,0.94100,0.90848
lixintang,455,7,0.9070295520160898,0.77768,0.77059
chunshengzhao,403,6,0.9791223661318383,0.94110,0.95732
xiyao,848,8,0.9158915488356899,0.69950,0.67117
linglingwang,798,27,0.7679989188823947,0.81141,0.71745
yaofu,590,17,0.9853982755081093,0.94253,0.97352
qingjiang,919,25,0.765593577467794,0.82342,0.70227
xiaorongwang,558,20,0.9134967710589711,0.93542,0.89715
minliu,1239,51,0.7132546596434359,0.85811,0.69864
pingwu,1211,37,0.8604666609733649,0.90752,0.84974
toshikazunakamura,90,4,0.5533980582524272,0.59788,0.40652
xiaowei,456,19,0.7330267125582528,0.89562,0.68633
xiaofengwang,1361,53,0.7826724449929936,0.87720,0.76981
williamclegg,210,6,0.7572299822939209,0.74901,0.68644
zhuosun,424,9,0.9825231365168693,0.91794,0.95517
xiaolinwu,388,14,0.9221840771620075,0.84528,0.86899
weihuawang,746,31,0.7434593384730166,0.76963,0.64755
zhiyuanzhang,488,11,0.5151055211283945,0.62992,0.27260
minghuazhou,272,11,0.8380913119653715,0.79276,0.78120
xucai,379,9,0.9408642531670923,0.94417,0.91807
qiangwang,2211,76,0.6708278158031096,0.82763,0.65165
pingchen,1670,58,0.7346248623708908,0.86118,0.71928
qingsongliu,304,17,0.866580100633014,0.90635,0.84619
wendongwang,460,12,0.9519088224480841,0.93244,0.92003
fengpeng,358,14,0.918736035748484,0.95130,0.90739
wenjunli,250,22,0.9004309367203448,0.94390,0.89287
lixiangwang,529,11,0.9882122051498629,0.90573,0.97217
xiangli,2067,95,0.7552552632560517,0.87230,0.74460
average,,,0.85174,0.85138,0.79384
