name,num_nodes,true_clusters,pf1,nmi,ari
weiguozhu,372,12,0.5272742891504166,0.58735,0.40055
weidongtian,368,4,0.7019884688933301,0.59365,0.42667
yingtan,309,11,0.583483237939493,0.70518,0.52326
lansunchen,426,3,0.8014932079776019,0.16275,0.10372
xiaomingxie,421,9,0.41375217435792494,0.51204,0.25683
weiliao,357,11,0.5900462842581519,0.76175,0.52248
makotoinoue,603,18,0.474863425765853,0.67028,0.42992
lixintang,455,7,0.553014502594946,0.57567,0.32895
chunshengzhao,403,6,0.7354899257999237,0.72112,0.55982
xiyao,848,8,0.46145910053562067,0.37891,0.12909
linglingwang,798,27,0.6607950116913484,0.77382,0.61699
yaofu,590,17,0.3101943927632001,0.56627,0.18361
qingjiang,919,25,0.5104568843213789,0.55641,0.41194
xiaorongwang,558,20,0.5331754207177679,0.79327,0.48002
minliu,1239,51,0.5526258530313519,0.80704,0.53792
pingwu,1211,37,0.5135833595965963,0.73674,0.48707
toshikazunakamura,90,4,0.5053902544200085,0.42424,0.30489
xiaowei,456,19,0.6205514740959832,0.73668,0.57953
